operator,campus,state,lat,lon,announced_year,construction_start,first_operation,status,era,source,verified,legacy_first_year,note,announced_source,construction_source,operation_source,siting_rationale,ownership_model,capacity_mw,capacity_basis,capacity_asof,capacity_source
Google,"Douglas County (Lithia Springs), GA",GA,33.74,-84.63,,,2003,operating,1,,partial,2003,Early Google fleet; No public announcement event found for the 2003-era site; Google's page dates presence to 2003 and an owned-facility build to 2007; announced/construction left blank rather than inferred; CAPACITY: No sourced MW (servercountry '171 MW' has no cited source/basis — excluded),,,datacenters.google Douglas County page (accessed 2026-08),none stated found,owner_operated,,,,
AWS,"Ashburn / Loudoun County, VA",VA,39.04,-77.49,,,,operating,1,,no,2006,"us-east-1; fiber density; Resists sourcing: AWS ran in leased NoVA space long before owned builds; us-east-1 (2006) is tied in sources only to 'Northern Virginia', not a named Ashburn campus, so the region proxy was NOT used; all three dates blank per rules; CAPACITY: Weak-basis aggregation — flagged; portfolio-level, not a single campus",,,,"No AWS statement for original siting. Regional context only: Loudoun 'Data Center Alley' fiber density ('70% of internet IP traffic is either created or passes through Loudoun County'), MAE-East legacy interconnection, Dominion power, VA sales/use tax exemption -- VEDP 'The Dawn of Data'",owner_operated,2754,facility_load,2025,"MMCG Invest 'AWS at Scale': 163 AWS NoVA facilities ~2,754 MW — operator-specific third-party aggregation, NOT a utility record; Dominion aggregate context: 11,800 MW all-operator NoVA DC load (EEI Jul 2026)"
Google,"The Dalles, OR",OR,45.60,-121.18,,2005,2006,operating,1,,partial,2006,"[RESEARCHED: BPA 300 MW Quenett Creek substation = supply infrastructure, not campus load] Columbia River hydro; announced_year blank: pursued secretly from 2004; became broadly public via NYT front page June 2006. Construction-start conflict: crgta.org 2005 vs Wikipedia 2006 (crgta used); CAPACITY: No sourced campus MW; BPA's 300 MW Quenett Creek substation (2019) built partly for a third Google DC — substation capacity, not load",,Gorge Technology Alliance (crgta.org) Google-The Dalles spotlight,datacenters.google Oregon page (accessed 2026-08),"Site scouted secretly as 'Design LLC' seeking a large industrial tract with 'plenty of electricity and a connection to transcontinental fiber-optic cable' (Fortune longform); Google OR page adds skilled local workforce, business-friendly environment, enhanced energy infrastructure",owner_operated,,,,
Microsoft,"Quincy, WA",WA,47.23,-119.85,2006,2006,2007,operating,1,,yes,2007,"[RESEARCHED: ~210 MW backup generators = supply proxy, not facility IT load] Columbia River hydro; No single dated 2006 announcement release located; 2006 supported by land purchase and contemporaneous coverage; CAPACITY: No stated campus MW; 2012 consumption 30-50 MW (press); 2018 WA Ecology permit added ~210 MW backup gensets (expansion proxy); Grant PUD figures are area-wide",Yakima Herald-Republic 'Future Harvests' (land bought 2006; EDC contact 2005),Port of Quincy/Seattle Times via Wikipedia 'Columbia Data Center',Data Center Knowledge 2007-03-11 (go-live Mar 27 2007),"'The gold in Quincy is electricity... There is cheap electricity here and lots of it... the Columbia, the premier hydroelectric river in North America, flows nearby'; utility-built fiber 'a major selling point for Microsoft and Yahoo' -- NYT June 2006 (via NBC News reprint); Grant County PUD hydro rates 1.9-2.5 c/kWh",owner_operated,,,,
Google,"Lenoir, NC",NC,35.91,-81.54,2007,,2008,operating,1,,partial,2008,"[RESEARCHED: Duke 61 MW solar (2015) = renewable PPA (supply), not campus demand] Operation conflict: Wikipedia 2009 vs operator 2008 (operator used); construction start unsourced; CAPACITY: No sourced MW; Duke 61 MW solar (2015 Green Source Rider) is supply",datacenters.google North Carolina page (announced Jan 2007 with NC state officials),,datacenters.google North Carolina page (accessed 2026-08),"'Favorable business landscape', 'a skilled local workforce', 'enhanced energy infrastructure' -- datacenters.google North Carolina page",owner_operated,,,,
Google,"Moncks Corner (Berkeley County), SC",SC,33.20,-80.01,2007,,2007,operating,1,,partial,2008,"Google current page: ""built in 2007""; South Carolina confirms ""established in 2007"". Conflict with earlier ""2009"" resolved per operator primary source rule.","datacenters.com Google Berkeley County page (Apr 2007, $600M, widely reported)",,datacenters.google South Carolina page ('built in 2007'),none stated found,owner_operated,380,facility_load,2025,Santee Cooper (state utility) counsel statement in Santee Cooper v. Central Electric rate dispute (May 2025): Google Moncks Corner 'uses upwards of 380 megawatts' — utility naming its own customer; SC Daily Gazette / Post & Courier
Microsoft,"San Antonio, TX",TX,29.42,-98.49,2007,2007,2008,operating,1,,yes,2008,[RESEARCHED: CPS aggregate only (324 MW all customers); campus-specific confidential] CAPACITY: CPS Energy discloses aggregate large-load only (324 MW all customers 2023); no Microsoft-campus MW ever stated,Datacenter Dynamics 2007-07-30 (official announcement ~Jan 2007),Datacenter Dynamics 2007-07-30 (groundbreaking),Datacenter Dynamics 2008-09-22,Recycled ('gray') water for cooling -- SAWS supply 'guaranteed... in the event of a drought'; low CPS power costs; low natural-disaster risk; 10-year property tax abatement; 'San Antonio is a key hub for Microsoft in its North American distribution system' (Manos) -- DCD Jul 2007/Sep 2008; DCK retrospective,owner_operated,,,,
Microsoft,"Northlake (Chicago), IL",IL,41.92,-87.89,2007,,2009,operating,1,,partial,2009,Construction start unresolved (late 2007 vs 2008; crew of 900+ during 2008 per DCK) -- blank per rules; CAPACITY: Initial phase 30 MW; ~56-80 MW critical IT; dated pre-2013 expansion — no modern ComEd record,Data Center Knowledge 2007-11-05 / Crain's Chicago Business 2007-11-07,,Data Center Knowledge 2009-09-30 (operations began Jul 20 2009),"Power cost: site offered electricity at '5 cents a kilowatt hour, with a dedicated substation on the 12-acre property', vs 9c California / 11c northern NJ; 'Microsoft has been keenly focused on power costs in its data center site location efforts' -- Data Center Knowledge 2007-11-05",owner_operated,110,facility_load,2009,"James Hamilton (Microsoft-published), mvdirona.com 'Microsoft Chicago is Live' (Oct 2009): ~110 MW total facility power at full buildout; describes Northlake specifically"
Google,"Council Bluffs, IA",IA,41.26,-95.86,2007,,2009,operating,1,,partial,2009,"[RESEARCHED: Tracker 100-250 MW lacks basis; 407 MW = wind PPA (supply)] Construction start unsourced; CAPACITY: No campus-total sourced MW; tracker records: CB East 100-250 MW (interconnection.fyi, MidAmerican) / 190 MW (datacenter.fyi) — partial, aggregator-grade; 407 MW wind RECs are PPAs",Data Center Knowledge 2007-06-19 (Gov. Culver confirms),,baxtel Google Council Bluffs page (first facility began operations 2009; matches Google's stated spring-2009 target per DCK),"MidAmerican Energy wind ('generates more wind energy than any other utility in the country'); proximity to Lake Manawa for cooling water; 1,185 acres for expansion -- Data Center Knowledge 2007-06-19",owner_operated,,,,
Apple,"Maiden, NC",NC,35.58,-81.21,2009,,2010,operating,2,,partial,2010,"Construction well underway by Feb 2010 (Fortune flyover) implying a 2009 start, but no source states it -- blank; opening month conflict (Jun vs Oct 2010), year solid; CAPACITY: 14 years stale, pre-expansion — treat as a floor, not current load; Greenpeace's 100 MW was ratio-derived, excluded",The Register 2009-06-04 / Data Center Knowledge 2009-07-07 (site named),,AppleInsider 2010-10-25 ('open any day now'; dgtlinfra: Jun 2010),Apple state filing: East Coast location exploits the '3 hour time change... to facilitate communications between European operations/sales and California' (DCK 2009-07-07); NC ~$46M/10-yr tax credit conditioned on a distressed rural county; $7.3M Maiden/Catawba incentives,owner_operated,20,facility_load,2012,"Apple statement rebutting Greenpeace (Data Center Knowledge, Apr 17 2012): 'Our data center in North Carolina will draw about 20 megawatts at full capacity' — operator-stated; matched by name (Apple's only NC DC)"
Meta,"Prineville, OR",OR,44.30,-120.83,2010,2010,2011,operating,2,,yes,2011,"[RESEARCHED: 437 MW = solar PPA (supply), not facility load] opened as Facebook; First Meta-owned campus; Announcement and groundbreaking both Jan 2010; testing end-2010, live traffic ~Mar-Apr 2011; CAPACITY: No stated load MW; 437 MW (2018) is solar PPA capacity, excluded as supply-side",Sen. Wyden press release 2010-01-21 (wyden.senate.gov),Meta Prineville info sheet (datacenters.atmeta.com),The Register 2011-04-07 (live traffic ~Mar 2011; unveiled Apr 2011),"Oregon offered 'cheap power, a good climate (read: cooler), and tax incentives'; cool/dry climate enabled evaporative cooling and airside economizer design -- TechCrunch 2010-01-21 reporting Facebook's announcement",owner_operated,,,,
Microsoft,"Boydton, VA",VA,36.66,-78.39,2010,2010,2012,operating,2,,yes,2011,"Legacy hint 2011 incorrect for first operation; first phase opened Feb 2012; CAPACITY: Air-permit MW ~ backup-generator capacity as facility-load proxy; covers permitted project, not necessarily all 14+ buildings — lower bound",Data Center Knowledge 2010-08-27 (up to $499M Gen4 announcement; VEDP confirms),"SoVaNOW (News & Record) 2010-11-17 (grading/footings, 100+ workers)",Data Center Knowledge 2013-01-31 ('opened in February 2012'),Mid-Atlantic Broadband Cooperative fiber 'a key component in Microsoft's decision to locate in Virginia'; Dominion 'extremely reliable electric supply and competitively priced electricity'; '40-acre pad-ready site'; $2.1M Governor's Opportunity Fund + $4.8M Tobacco Commission + tax exemptions -- DCK/SoVaNOW 2010; VEDP case study,owner_operated,450.5,facility_load,2023,"VA DEQ Article 6 minor-NSR air permit, 'Microsoft Corp - LVL Data Center, Boydton' approved Sep 5 2023 (via datacenter.fyi public record); matched by county + customer name"
AWS,"Boardman / Umatilla, OR",OR,45.84,-119.70,2008,2008,2011,operating,2,,yes,2011,"Vadata = AWS land subsidiary (East Oregonian 2010-07-28); construction halted ~2009 recession (The Register 2009-09-15), resumed ~2010; first_operation is a region-launch proxy; CAPACITY: Region-wide (incl. Hermiston/Arlington), design capacity; MMCG estimates 1,000-1,500 MW operational; UEC discloses energy only",Data Center Knowledge Nov 2008 (Vadata/Amazon at Port of Morrow -- first public identification),Data Center Knowledge Nov 2008 (first of three buildings underway),"AWS us-west-2 'US West (Oregon)' region launch Nov 2011 -- REGION-LAUNCH PROXY, flagged",No AWS statement. Trade press: cheap Columbia River basin hydropower (DCK Nov 2008); Oregon enterprise-zone property-tax exemptions ~$1B (The Columbian 2023-05-11),owner_operated,2495,facility_load,2025,"Baxtel AWS US West (Oregon) region page: 67 facilities, 2,495 MW design total — aggregator, not utility record"
Google,"Pryor (Mayes County), OK",OK,36.30,-95.31,2007,,2011,operating,2,,partial,2011,"Construction halted in 2008 downturn, resumed Oct 2010; start year unpinned -- blank; MidAmerica Industrial Park site; CAPACITY: GRDA publishes no per-customer MW; 'affordablesolar 400+ MW' lacks basis — excluded; Pryor North expansion 50-100 MW (interconnection.fyi); 700+ MW Leeward solar = PPAs",Data Center Knowledge 2010-10-21 (announced May 2007); Tulsa World archive,,baxtel Google Mayes County page (first facility opened 2011; consistent with DCK 2010-10-21),"none stated found (state/local sales and property tax incentives noted as fact, not stated rationale -- DCK 2010-10-21)",owner_operated,,,,
Meta,"Forest City, NC",NC,35.33,-81.87,2010,2010,2012,operating,2,,yes,2012,[RESEARCHED: Duke Energy discloses no per-customer load] opened as Facebook; Announcement and groundbreaking both Nov 2010; rationale quotes are retrospective; CAPACITY: No stated load MW found (Duke territory; no per-customer figure),Data Center Knowledge 2010-11-11 ('Facebook Plans North Carolina Data Center'),Facebook newsroom 2012-04-19 ('broke ground in November 2010'); Meta info sheet concurs,Facebook newsroom 2012-04-19 ('online and serving live user traffic'),"'Access to the [town's] infrastructure and renewable energy', a 'strong pool of talent in the surrounding area', and community/county leadership (site manager Ernest Hill, Business North Carolina); also first live test of Open Compute outdoor-air cooling in a hotter/more humid climate (Facebook newsroom 2012-04-19)",owner_operated,,,,
Apple,"Reno, NV",NV,39.52,-119.44,2012,2012,2013,operating,2,,yes,2012,[RESEARCHED: NV Energy confidential; no per-campus figure disclosed] Operation conflict: dgtlinfra says Dec 2012 vs contemporaneous Mar 2013 (2013 used; CEG Jan 2018 supports); CAPACITY: NV Energy/PUCN special-contract MW confidential; 2017 filing states only ~120% load growth 2018-2020; solar MW are supply,Las Vegas Sun 2012-06-27 (Apple statement + Reno/Washoe abatement approvals),AppleInsider Mar 2013 (initial 'tactical' facility built after mid-2012 approvals),AppleInsider/MacRumors 2013-03-27 (initial iCloud facility 'ready to go online'),"'Access to low cost power with solar and other renewable options', high-speed fiber, low natural-disaster risk, $89M state/county/city tax abatements -- AppleInsider Mar 2013; Apple: 'We hope to build Apple's next data center in Reno to support... iCloud'",owner_operated,,,,
Microsoft,"Cheyenne, WY",WY,41.14,-104.82,2012,2012,2012,operating,2,,yes,2012,"[RESEARCHED: Black Hills LPCS tariff confidential; only ""tens of MW"" range published] CONFLICT: contemporaneous DCK (Apr 2012) expected operations spring 2013; operator retrospectives say 2012 (used per rules) -- low confidence; CAPACITY: Black Hills Energy LPCS tariff keeps Microsoft load confidential (WY PSC); 'tens of MW' (2016); Meta 'Project Jade' 2.7 GW is a different Cheyenne customer — do not conflate",Data Center Knowledge 2012-04-09 (Microsoft/state announce $112M),news.microsoft.com 2026-04-14 ('development of our first datacenter in 2012'); DCK: start summer 2012,Azure blog 2021-11-22 ('home to Microsoft's cloud infrastructure services since 2012'),"Gov. Matt Mead: 'We have abundant, affordable energy. Our naturally cool climate decreases costs for data centers and we have redundant fiber optics'; ~$11M state/county incentives incl. workforce training -- DCK 2012-04-09",owner_operated,,,,
